diff2_acf1,trend,linearity,unitroot_kpss,fluctanal_prop_r1,motiftwo_entro3,outlierinclude_mdrmd,avg_rR45CO244CO2,sd_rR45CO244CO2,avg_rR46CO244CO2,avg_R45CO244CO2,sd_R45CO244CO2,avg_rd45CO244CO2,sd_rd45CO244CO2,avg_d45CO244CO2,sd_d45CO244CO2,avg_R13C12C,sd_R13C12C,avg_d13C12C,sd_d13C12C,avg_d18O13C,sd_d18O13C
avg_R45CO244CO2,-0.367032821919063,0.358378588434555,-0.402706028691719,0.333371173119446,-0.171518894324099,-0.408112339122253,0.044382443737874,0.509230473194175,-0.265147580737772,-0.239207083680955,1,-0.264361716938404,0.99999999996371,-0.264379501024066,0.99999999996371,-0.264379495505689,0.998330212848903,-0.261706797335809,0.998330185889498,-0.261703641739096,0.287895665557362,0.339471748556791
sd_R45CO244CO2,0.045740799765844,0.0202672638315837,0.108047091719036,-0.0643537903018077,0.10028867113336,-0.0379059192744316,-0.273938425914547,-0.292564464777645,0.999998708545058,-0.224759400633221,-0.264361716938404,1,-0.264361618806194,0.999999987208216,-0.26436161886698,0.999999987208478,-0.250244711002639,0.99993680077222,-0.250243516690905,0.999936965172338,0.170717601700939,0.476583112115672
avg_rd45CO244CO2,-0.36703240420314,0.358377975150211,-0.402705660042783,0.333370685740614,-0.17151973775734,-0.408111948492129,0.0443827467305155,0.509229972217893,-0.265147484358164,-0.239207230482493,0.99999999996371,-0.264361618806194,1,-0.2643794028556,1,-0.264379397337211,0.998330209460771,-0.261706689781706,0.998330182505028,-0.261703534103833,0.287895620873663,0.339472741728043
sd_rd45CO244CO2,0.0457478658166598,0.0202561815324592,0.108066730092201,-0.0643755294496756,0.100306465611768,-0.0378864818602941,-0.273915781437466,-0.292565754747037,0.999998741804647,-0.224750484106245,-0.264379501024066,0.999999987208216,-0.2643794028556,1,-0.264379402916346,1,-0.250262684820842,0.999936772032627,-0.250261490496952,0.999936938532005,0.170708453882474,0.476590898876585
avg_d45CO244CO2,-0.367032404202338,0.358377975128639,-0.402705659998665,0.333370685670905,-0.171519737850479,-0.408111948462309,0.0443827467960087,0.509229972140415,-0.265147484419032,-0.23920723042907,0.99999999996371,-0.26436161886698,1,-0.264379402916346,1,-0.264379397397957,0.998330209456379,-0.261706689843003,0.998330182500635,-0.26170353416515,0.287895620793495,0.33947274167946
sd_d45CO244CO2,0.0457478678054264,0.0202561800274397,0.108066730619779,-0.064375530423704,0.100306462486349,-0.0378864833091933,-0.273915778727299,-0.292565749826105,0.999998741803383,-0.22475048343821,-0.264379495505689,0.999999987208478,-0.264379397337211,1,-0.264379397397957,1,-0.250262679368015,0.999936772033193,-0.250261485044125,0.999936938532511,0.170708454225436,0.476590899469622
avg_R13C12C,-0.348658563943343,0.341772065640702,-0.391997390057839,0.325945992986886,-0.180072081322046,-0.403082754644782,0.0461062646989105,0.512078324517171,-0.251005837835125,-0.291446537532742,0.998330212848903,-0.250244711002639,0.998330209460771,-0.250262684820842,0.998330209456379,-0.250262679368015,1,-0.247591474619718,0.999999999969029,-0.24758988592906,0.342591085973954,0.364784004710439
sd_R13C12C,0.0430136353786368,0.0230956002157698,0.103636696625178,-0.0604038551561678,0.0991821047933948,-0.0414774808066716,-0.276765762190237,-0.292168255962364,0.999931487699982,-0.225774286461768,-0.261706797335809,0.99993680077222,-0.261706689781706,0.999936772032627,-0.261706689843003,0.999936772033193,-0.247591474619718,1,-0.247590273626008,0.999999987574661,0.171551478686358,0.481246395557615
avg_d13C12C,-0.348658450123214,0.341772068841862,-0.391997421501962,0.325945907554946,-0.180071681190485,-0.403082925716066,0.0461058565636732,0.512079002931585,-0.251004642451274,-0.291446768214355,0.998330185889498,-0.250243516690905,0.998330182505028,-0.250261490496952,0.998330182500635,-0.250261485044125,0.999999999969029,-0.247590273626008,1,-0.247588684879571,0.342591582466383,0.364785358980683
sd_d13C12C,0.043008728481191,0.0230981634675138,0.10363662101819,-0.0604061693919036,0.0992094595705812,-0.0414718261293169,-0.276759353694541,-0.292150118951118,0.999931637207716,-0.225745750189019,-0.261703641739096,0.999936965172338,-0.261703534103833,0.999936938532005,-0.26170353416515,0.999936938532511,-0.24758988592906,0.999999987574661,-0.247588684879571,1,0.171526610125925,0.481242075482797
