failed_sampIso_Analysis,failed_sampIso_Identifier1,failed_sampIsoSD_d18O16O,failed_sampIsoSD_d13C12C,failed_sampIsoSD_reason
3761,MgSO4_L_+_NaCl_U,0.927628084471946,0.182436459387298,d18O16O
3736,MgSO4_L_+_NaHCO3_L,0.729192860339531,0.353783287860593,d13C12C_d18O16O
3744,MgSO4_L_+_NaHCO3_U,0.580592170289948,0.157148459683556,d18O16O
3763,MgSO4_L_+_NaHCO3_U,0.466390402067379,0.110838749655309,d18O16O
3728,MgSO4_L,0.31284007341561,0.170580206235703,d18O16O
3756,MgSO4_L,0.778383958551858,1.73248666051965,d13C12C_d18O16O
3737,Na2SO4_L_+_NaCl_L,0.506669093136509,0.33242246712425,d13C12C_d18O16O
3768,Na2SO4_L_+_NaCl_L,0.305194561144335,0.183016503910549,d18O16O
3727,Na2SO4_L_+_NaCl_U,0.735173859758654,1.102273557363,d13C12C_d18O16O
3745,Na2SO4_L_+_NaCl_U,0.203852434387994,0.537863493430911,d13C12C_d18O16O
3767,Na2SO4_L_+_NaCl_U,0.504652044955911,0.350172243204031,d13C12C_d18O16O
3758,Na2SO4_L_+_NAHCO3_L,0.763766536472635,0.65664354635833,d13C12C_d18O16O
3741,Na2SO4_L_+_NaHCO3_U,0.506629181751208,0.186817798969647,d18O16O
3738,Na2SO4_L,0.795896623601293,0.239224173609087,d18O16O
3762,Na2SO4_L,0.521289788873514,0.22836655492326,d18O16O
3740,Na2SO4_U,1.02152082043511,0.116930012100797,d18O16O
3752,Na2SO4_U,0.896081829366347,0.421279536731638,d13C12C_d18O16O
3764,Na2SO4_U,0.453968230036118,0.0800967701669233,d18O16O
3742,NaCl_U,0.725025563563435,0.695962779005964,d13C12C_d18O16O
3746,NaCl_U,4.44377626099209,0.484173934049342,d13C12C_d18O16O
3729,NaHCO3_L,0.606900372917245,1.24270475682594,d13C12C_d18O16O
3747,NaHCO3_L,0.427851729425361,0.109397405826757,d18O16O
3750,NaHCO3_L,0.563770950795974,0.647200840502204,d13C12C_d18O16O
3739,NaHCO3_U_+_NaCl_U,0.729189397746675,0.371145013321288,d13C12C_d18O16O
3749,NaHCO3_U_+_NaCl_U,0.504828672445871,0.370391077521861,d13C12C_d18O16O
3787,H1,1.03203096076725,0.180704544221968,d18O16O
3789,L1,1.40245547535295,0.379216266885332,d13C12C_d18O16O
3788,LW,1.51279031437733,0.210214268820269,d18O16O
3773,MgSO4_L_+_NaCl_L_,0.921600268227013,0.281566383490762,d18O16O
3781,MgSO4_L_+_NaCl_L,0.936027675695151,0.227103789109501,d18O16O
3786,Na2SO4_L_+_NaCl_L,1.14730075216443,0.219819187416145,d18O16O
3784,Na2SO4_L_+_NaHCO3_U,0.531653738259567,0.218567819493145,d18O16O
3774,NaCl_L,0.137368634260488,0.522605618305393,d13C12C
3780,NaCl_L,0.619272457755958,0.090083749407609,d18O16O
3772,NaHCO3_U_+_NaCl_U,0.163797037459572,0.574081304553196,d13C12C
3810,NaHCO3_L_+_NaCl_L,0.169640649554003,0.643809891936127,d13C12C
3811,NaHCO3_L_+_NaCl_U,0.130475714550763,0.464951402426556,d13C12C
3809,NaHCO3_L,0.169998263698242,0.315052047595291,d13C12C
4172,NaHCO3_L_+_NaCl_L,0.168087659491529,0.390277874150897,d13C12C
4192,MgSO4_L_+_NaCl_U,0.692185264122748,0.796773637365092,d13C12C_d18O16O
4220,NaHCO3_L_+_NaCl_L,0.171733541764185,0.330323938593145,d13C12C
4223,NaHCO3_L_+_NaCl_L,0.117096376725151,0.375052355409556,d13C12C
