actual,pred,Analysis,trainTest,abiotic,biotic
abiotic,abiotic,3261,train,0.89609797407335,0.10390202592665
abiotic,abiotic,3263,train,0.951320355880868,0.0486796441191318
abiotic,abiotic,3267,train,0.819143739808207,0.180856260191793
abiotic,abiotic,3268,train,0.767788409906136,0.232211590093864
abiotic,abiotic,3269,train,0.803568715544559,0.196431284455441
abiotic,abiotic,3274,train,0.823607772652793,0.176392227347207
abiotic,abiotic,4922,train,0.845412324671328,0.154587675328673
abiotic,abiotic,4929,train,0.792273793671929,0.20772620632807
abiotic,abiotic,4932,train,0.824666891764331,0.17533310823567
abiotic,abiotic,4933,train,0.773855678635089,0.22614432136491
abiotic,abiotic,4934,train,0.777095871608067,0.222904128391933
abiotic,abiotic,4935,train,0.752428635720715,0.247571364279285
abiotic,abiotic,4940,train,0.775412641545645,0.224587358454354
abiotic,abiotic,4941,train,0.943787918467112,0.0562120815328881
abiotic,abiotic,4946,train,0.804769574649925,0.195230425350076
abiotic,abiotic,4947,train,0.680351666885705,0.319648333114295
abiotic,abiotic,4948,train,0.975038112176841,0.0249618878231595
abiotic,abiotic,4949,train,0.962472442680776,0.037527557319224
abiotic,abiotic,4950,train,0.761597349177331,0.238402650822669
abiotic,abiotic,4951,train,0.87237075969937,0.12762924030063
abiotic,abiotic,4952,train,0.890840879876366,0.109159120123633
abiotic,abiotic,4953,train,0.942023755826191,0.0579762441738085
abiotic,abiotic,4954,train,0.872434970306576,0.127565029693423
abiotic,abiotic,4958,train,0.881854666984272,0.118145333015729
abiotic,abiotic,4959,train,0.953045980728189,0.0469540192718102
abiotic,abiotic,4961,train,0.929649942666753,0.0703500573332468
abiotic,abiotic,4962,train,0.943463672731965,0.0565363272680346
abiotic,abiotic,4964,train,0.909900068310527,0.0900999316894735
abiotic,abiotic,4965,train,0.926430954547424,0.0735690454525759
abiotic,abiotic,4966,train,0.966066354760837,0.0339336452391634
abiotic,abiotic,4968,train,0.838852913968548,0.161147086031452
abiotic,abiotic,4969,train,0.893766121615862,0.106233878384137
abiotic,abiotic,4970,train,0.752619511280954,0.247380488719047
biotic,abiotic,5757,train,0.688325506793844,0.311674493206155
biotic,biotic,5758,train,0.297488470772259,0.702511529227741
abiotic,abiotic,5759,train,0.851637250562057,0.148362749437943
biotic,biotic,5761,train,0.32428584334129,0.67571415665871
biotic,biotic,5764,train,0.434567299049311,0.565432700950689
abiotic,abiotic,5768,train,0.797833383812778,0.202166616187222
abiotic,abiotic,5769,train,0.651884940604287,0.348115059395714
abiotic,biotic,5770,train,0.541516387771118,0.458483612228882
biotic,biotic,5771,train,0.345136145649523,0.654863854350477
abiotic,abiotic,5774,train,0.830193063101528,0.169806936898472
biotic,biotic,5776,train,0.505862359196281,0.494137640803719
biotic,biotic,5780,train,0.421919728116545,0.578080271883455
biotic,biotic,5782,train,0.419835672835807,0.580164327164193
biotic,abiotic,5784,train,0.642020725948807,0.357979274051192
biotic,abiotic,5878,train,0.839097133640641,0.160902866359358
abiotic,abiotic,5879,train,0.671953561558701,0.328046438441298
biotic,abiotic,5880,train,0.724526682220487,0.275473317779512
biotic,biotic,5881,train,0.38129276321258,0.618707236787418
biotic,biotic,5882,train,0.354655748532512,0.645344251467487
biotic,biotic,5884,train,0.504337801074912,0.495662198925088
abiotic,biotic,5885,train,0.241248390547675,0.758751609452325
abiotic,biotic,5886,train,0.579209632280105,0.420790367719894
